#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.50E-04,0.005
2.51E-04,0.006
2.51E-04,0.005
2.51E-04,0.005
2.51E-04,0.005
2.51E-04,0.005
2.52E-04,0.005
2.52E-04,0.004
2.52E-04,0.004
2.52E-04,0.002
2.52E-04,0.003
2.53E-04,0.004
2.53E-04,0.005
2.53E-04,0.005
2.53E-04,0.006
2.53E-04,0.007
2.54E-04,0.006
2.54E-04,0.006
2.54E-04,0.006
2.54E-04,0.006
2.54E-04,0.005
2.55E-04,0.006
2.55E-04,0.006
2.55E-04,0.006
2.55E-04,0.006
2.55E-04,0.006
2.56E-04,0.006
2.56E-04,0.006
2.56E-04,0.006
2.56E-04,0.006
2.56E-04,0.006
2.57E-04,0.006
2.57E-04,0.006
2.57E-04,0.006
2.57E-04,0.007
2.57E-04,0.006
2.58E-04,0.006
2.58E-04,0.006
2.58E-04,0.007
2.58E-04,0.008
2.58E-04,0.009
2.59E-04,0.008
2.59E-04,0.008
2.59E-04,0.008
2.59E-04,0.008
2.59E-04,0.009
2.60E-04,0.010
2.60E-04,0.009
2.60E-04,0.008
2.60E-04,0.009
2.60E-04,0.008
2.61E-04,0.008
2.61E-04,0.008
2.61E-04,0.008
2.61E-04,0.008
2.61E-04,0.008
2.62E-04,0.008
2.62E-04,0.008
2.62E-04,0.007
2.62E-04,0.008
2.62E-04,0.008
2.63E-04,0.008
2.63E-04,0.008
2.63E-04,0.008
2.63E-04,0.008
2.63E-04,0.008
2.64E-04,0.007
2.64E-04,0.008
2.64E-04,0.008
2.64E-04,0.008
2.64E-04,0.008
2.65E-04,0.008
2.65E-04,0.007
2.65E-04,0.008
2.65E-04,0.008
2.65E-04,0.008
2.66E-04,0.007
2.66E-04,0.007
2.66E-04,0.007
2.66E-04,0.007
2.66E-04,0.006
2.67E-04,0.007
2.67E-04,0.008
2.67E-04,0.007
2.67E-04,0.006
2.67E-04,0.006
2.68E-04,0.005
2.68E-04,0.004
2.68E-04,0.004
2.68E-04,0.004
2.68E-04,0.003
2.69E-04,0.004
2.69E-04,0.003
2.69E-04,0.005
2.69E-04,0.004
2.69E-04,0.004
2.70E-04,0.003
2.70E-04,0.002
2.70E-04,0.003
2.70E-04,0.002
2.70E-04,0.003
2.71E-04,0.003
2.71E-04,0.003
2.71E-04,0.003
2.71E-04,0.002
2.71E-04,0.002
2.72E-04,0.002
2.72E-04,0.002
2.72E-04,0.002
2.72E-04,0.002
2.72E-04,0.002
2.73E-04,0.001
2.73E-04,0.002
2.73E-04,0.001
2.73E-04,0.001
2.73E-04,0.001
2.74E-04,0.001
2.74E-04,0.001
2.74E-04,0.002
2.74E-04,0.002
2.74E-04,0.001
2.75E-04,0.002
2.75E-04,0.001
2.75E-04,0.002
2.75E-04,0.001
2.75E-04,0.001
2.76E-04,0.000
2.76E-04,0.000
2.76E-04,0.001
2.76E-04,0.000
2.76E-04,0.001
2.77E-04,0.001
2.77E-04,-0.000
2.77E-04,0.001
2.77E-04,0.000
2.77E-04,0.001
2.78E-04,0.001
2.78E-04,0.001
2.78E-04,0.001
2.78E-04,0.001
2.78E-04,0.003
2.79E-04,0.002
2.79E-04,0.002
2.79E-04,0.003
2.79E-04,0.002
2.79E-04,0.002
2.80E-04,0.002
2.80E-04,0.001
2.80E-04,0.002
2.80E-04,0.000
2.80E-04,0.001
2.81E-04,0.001
2.81E-04,0.001
2.81E-04,0.001
2.81E-04,0.002
2.81E-04,0.001
2.82E-04,-0.001
2.82E-04,-0.001
2.82E-04,0.000
2.82E-04,0.001
2.82E-04,0.001
2.83E-04,0.001
2.83E-04,0.003
2.83E-04,0.002
2.83E-04,0.002
2.83E-04,0.002
2.84E-04,0.002
2.84E-04,0.002
2.84E-04,0.001
2.84E-04,0.002
2.84E-04,0.002
2.85E-04,0.002
2.85E-04,0.002
2.85E-04,0.002
2.85E-04,0.003
2.85E-04,0.004
2.86E-04,0.003
2.86E-04,0.002
2.86E-04,0.001
2.86E-04,0.002
2.86E-04,0.001
2.87E-04,0.002
2.87E-04,0.002
2.87E-04,0.002
2.87E-04,0.001
2.87E-04,0.001
2.88E-04,0.001
2.88E-04,0.001
2.88E-04,0.001
2.88E-04,0.000
2.88E-04,0.000
2.89E-04,0.001
2.89E-04,-0.002
2.89E-04,-0.002
2.89E-04,-0.001
2.89E-04,-0.000
2.90E-04,0.000
2.90E-04,0.001
2.90E-04,0.000
2.90E-04,0.000
2.90E-04,0.000
2.91E-04,0.001
2.91E-04,0.001
2.91E-04,0.001
2.91E-04,0.001
2.91E-04,0.001
2.92E-04,0.001
2.92E-04,0.001
2.92E-04,0.001
2.92E-04,0.001
2.92E-04,0.002
2.93E-04,0.001
2.93E-04,0.002
2.93E-04,0.002
2.93E-04,0.002
2.93E-04,0.002
2.94E-04,0.001
2.94E-04,0.002
2.94E-04,0.002
2.94E-04,0.001
2.94E-04,0.002
2.95E-04,0.003
2.95E-04,0.002
2.95E-04,0.003
2.95E-04,0.003
2.95E-04,0.003
2.96E-04,0.002
2.96E-04,0.002
2.96E-04,0.002
2.96E-04,0.003
2.96E-04,0.003
2.97E-04,0.004
2.97E-04,0.004
2.97E-04,0.003
2.97E-04,0.004
2.97E-04,0.003
2.98E-04,0.004
2.98E-04,0.003
2.98E-04,0.004
2.98E-04,0.004
2.98E-04,0.004
2.99E-04,0.004
2.99E-04,0.005
2.99E-04,0.005
2.99E-04,0.003
2.99E-04,0.005
3.00E-04,0.003
3.00E-04,0.003
3.00E-04,0.004
3.00E-04,0.004
3.00E-04,0.003
3.01E-04,0.005
3.01E-04,0.004
3.01E-04,0.004
3.01E-04,0.004
3.01E-04,0.004
3.02E-04,0.004
3.02E-04,0.004
3.02E-04,0.004
3.02E-04,0.005
3.02E-04,0.005
3.03E-04,0.004
3.03E-04,0.005
3.03E-04,0.005
3.03E-04,0.005
3.03E-04,0.006
3.04E-04,0.006
3.04E-04,0.006
3.04E-04,0.006
3.04E-04,0.005
3.04E-04,0.005
3.05E-04,0.007
3.05E-04,0.005
3.05E-04,0.005
3.05E-04,0.005
3.05E-04,0.005
3.06E-04,0.005
3.06E-04,0.005
3.06E-04,0.005
3.06E-04,0.004
3.06E-04,0.005
3.07E-04,0.005
3.07E-04,0.005
3.07E-04,0.005
3.07E-04,0.004
3.07E-04,0.004
3.08E-04,0.004
3.08E-04,0.003
3.08E-04,0.003
3.08E-04,0.003
3.08E-04,0.004
3.09E-04,0.003
3.09E-04,0.003
3.09E-04,0.004
3.09E-04,0.004
3.09E-04,0.004
3.10E-04,0.003
3.10E-04,0.003
3.10E-04,0.003
3.10E-04,0.004
3.10E-04,0.004
3.11E-04,0.004
3.11E-04,0.006
3.11E-04,0.006
3.11E-04,0.006
3.11E-04,0.005
3.12E-04,0.004
3.12E-04,0.004
3.12E-04,0.004
3.12E-04,0.003
3.12E-04,0.003
3.13E-04,0.003
3.13E-04,0.003
3.13E-04,0.003
3.13E-04,0.004
3.13E-04,0.003
3.14E-04,0.003
3.14E-04,0.003
3.14E-04,0.003
3.14E-04,0.003
3.14E-04,0.002
3.15E-04,0.003
3.15E-04,0.003
3.15E-04,0.003
3.15E-04,0.003
3.15E-04,0.002
3.16E-04,0.002
3.16E-04,0.003
3.16E-04,0.002
3.16E-04,0.002
3.16E-04,0.003
3.17E-04,0.003
3.17E-04,0.003
3.17E-04,0.002
3.17E-04,0.002
3.17E-04,0.003
3.18E-04,0.002
3.18E-04,0.003
3.18E-04,0.005
3.18E-04,0.003
3.18E-04,0.003
3.19E-04,0.003
3.19E-04,0.003
3.19E-04,0.003
3.19E-04,0.003
3.19E-04,0.002
3.20E-04,0.003
3.20E-04,0.002
3.20E-04,0.002
3.20E-04,0.002
3.20E-04,0.002
3.21E-04,0.003
3.21E-04,0.003
3.21E-04,0.003
3.21E-04,0.003
3.21E-04,0.003
3.22E-04,0.002
3.22E-04,0.003
3.22E-04,0.003
3.22E-04,0.002
3.22E-04,0.003
3.23E-04,0.003
3.23E-04,0.003
3.23E-04,0.003
3.23E-04,0.003
3.23E-04,0.002
3.24E-04,0.003
3.24E-04,0.002
3.24E-04,0.003
3.24E-04,0.003
3.24E-04,0.002
3.25E-04,0.002
3.25E-04,0.002
3.25E-04,0.002
3.25E-04,0.003
3.25E-04,0.001
3.26E-04,-0.001
3.26E-04,-0.000
3.26E-04,0.000
3.26E-04,0.002
3.26E-04,0.001
3.27E-04,0.002
3.27E-04,0.002
3.27E-04,0.001
3.27E-04,0.001
3.27E-04,0.001
3.28E-04,0.001
3.28E-04,0.002
3.28E-04,0.002
3.28E-04,0.001
3.28E-04,0.002
3.29E-04,0.003
3.29E-04,0.002
3.29E-04,0.002
3.29E-04,0.002
3.29E-04,0.002
3.30E-04,0.002
3.30E-04,0.001
3.30E-04,0.003
3.30E-04,0.002
3.30E-04,0.001
3.31E-04,0.002
3.31E-04,0.002
3.31E-04,0.002
3.31E-04,0.003
3.31E-04,0.003
3.32E-04,0.001
3.32E-04,0.002
3.32E-04,0.002
3.32E-04,0.003
3.32E-04,0.002
3.33E-04,0.002
3.33E-04,0.001
3.33E-04,0.000
3.33E-04,0.000
3.33E-04,0.001
3.34E-04,0.001
3.34E-04,0.002
3.34E-04,0.001
3.34E-04,0.002
3.34E-04,0.003
3.35E-04,0.003
3.35E-04,0.003
3.35E-04,0.003
3.35E-04,0.003
3.35E-04,0.003
3.36E-04,0.003
3.36E-04,0.003
3.36E-04,0.003
3.36E-04,0.003
3.36E-04,0.004
3.37E-04,0.003
3.37E-04,0.005
3.37E-04,0.005
3.37E-04,0.004
3.37E-04,0.005
3.38E-04,0.005
3.38E-04,0.005
3.38E-04,0.005
3.38E-04,0.005
3.38E-04,0.004
3.39E-04,0.005
3.39E-04,0.004
3.39E-04,0.004
3.39E-04,0.004
3.39E-04,0.005
3.40E-04,0.004
3.40E-04,0.005
3.40E-04,0.005
3.40E-04,0.003
3.40E-04,0.003
3.41E-04,0.004
3.41E-04,0.004
3.41E-04,0.006
3.41E-04,0.006
3.41E-04,0.005
3.42E-04,0.005
3.42E-04,0.005
3.42E-04,0.005
3.42E-04,0.005
3.42E-04,0.005
3.43E-04,0.005
3.43E-04,0.007
3.43E-04,0.006
3.43E-04,0.005
3.43E-04,0.005
3.44E-04,0.005
3.44E-04,0.005
3.44E-04,0.006
3.44E-04,0.006
3.44E-04,0.006
3.45E-04,0.006
3.45E-04,0.007
3.45E-04,0.005
3.45E-04,0.005
3.45E-04,0.005
3.46E-04,0.005
3.46E-04,0.005
3.46E-04,0.004
3.46E-04,0.004
3.46E-04,0.005
3.47E-04,0.005
3.47E-04,0.005
3.47E-04,0.005
3.47E-04,0.004
3.47E-04,0.004
3.48E-04,0.003
3.48E-04,0.004
3.48E-04,0.004
3.48E-04,0.004
3.48E-04,0.005
3.49E-04,0.005
3.49E-04,0.006
3.49E-04,0.005
3.49E-04,0.005
3.49E-04,0.004
3.50E-04,0.004
3.50E-04,0.005
3.50E-04,0.005
3.50E-04,0.005
3.50E-04,0.005
3.51E-04,0.005
3.51E-04,0.005
3.51E-04,0.005
3.51E-04,0.005
3.51E-04,0.005
3.52E-04,0.005
3.52E-04,0.006
3.52E-04,0.005
3.52E-04,0.005
3.52E-04,0.006
3.53E-04,0.006
3.53E-04,0.006
3.53E-04,0.006
3.53E-04,0.005
3.53E-04,0.005
3.54E-04,0.006
3.54E-04,0.006
3.54E-04,0.007
3.54E-04,0.006
3.54E-04,0.006
3.55E-04,0.006
3.55E-04,0.005
3.55E-04,0.006
3.55E-04,0.008
3.55E-04,0.007
3.56E-04,0.007
3.56E-04,0.007
3.56E-04,0.007
3.56E-04,0.007
3.56E-04,0.007
3.57E-04,0.007
3.57E-04,0.007
3.57E-04,0.007
3.57E-04,0.008
3.57E-04,0.008
3.58E-04,0.007
3.58E-04,0.007
3.58E-04,0.007
3.58E-04,0.007
3.58E-04,0.008
3.59E-04,0.008
3.59E-04,0.008
3.59E-04,0.007
3.59E-04,0.007
3.59E-04,0.007
3.60E-04,0.007
3.60E-04,0.007
3.60E-04,0.007
3.60E-04,0.007
3.60E-04,0.008
3.61E-04,0.008
3.61E-04,0.008
3.61E-04,0.008
3.61E-04,0.009
3.61E-04,0.008
3.62E-04,0.007
3.62E-04,0.008
3.62E-04,0.008
3.62E-04,0.007
3.62E-04,0.009
3.63E-04,0.008
3.63E-04,0.009
3.63E-04,0.008
3.63E-04,0.009
3.63E-04,0.008
3.64E-04,0.007
3.64E-04,0.008
3.64E-04,0.008
3.64E-04,0.008
3.64E-04,0.008
3.65E-04,0.008
3.65E-04,0.006
3.65E-04,0.007
3.65E-04,0.007
3.65E-04,0.006
3.66E-04,0.005
3.66E-04,0.007
3.66E-04,0.006
3.66E-04,0.007
3.66E-04,0.007
3.67E-04,0.007
3.67E-04,0.007
3.67E-04,0.007
3.67E-04,0.006
3.67E-04,0.006
3.68E-04,0.006
3.68E-04,0.006
3.68E-04,0.007
3.68E-04,0.006
3.68E-04,0.008
3.69E-04,0.008
3.69E-04,0.007
3.69E-04,0.007
3.69E-04,0.007
3.69E-04,0.008
3.70E-04,0.009
3.70E-04,0.009
3.70E-04,0.009
3.70E-04,0.008
3.70E-04,0.008
3.71E-04,0.008
3.71E-04,0.007
3.71E-04,0.007
3.71E-04,0.007
3.71E-04,0.007
3.72E-04,0.007
3.72E-04,0.007
3.72E-04,0.008
3.72E-04,0.008
3.72E-04,0.008
3.73E-04,0.008
3.73E-04,0.007
3.73E-04,0.007
3.73E-04,0.007
3.73E-04,0.007
3.74E-04,0.007
3.74E-04,0.008
3.74E-04,0.008
3.74E-04,0.007
3.74E-04,0.008
3.75E-04,0.008
3.75E-04,0.008
3.75E-04,0.008
3.75E-04,0.008
3.75E-04,0.008
3.76E-04,0.009
3.76E-04,0.011
3.76E-04,0.011
3.76E-04,0.010
3.76E-04,0.010
3.77E-04,0.009
3.77E-04,0.009
3.77E-04,0.012
3.77E-04,0.011
3.77E-04,0.010
3.78E-04,0.009
3.78E-04,0.008
3.78E-04,0.007
3.78E-04,0.008
3.78E-04,0.007
3.79E-04,0.008
3.79E-04,0.007
3.79E-04,0.006
3.79E-04,0.007
3.79E-04,0.006
3.80E-04,0.006
3.80E-04,0.007
3.80E-04,0.006
3.80E-04,0.006
3.80E-04,0.006
3.81E-04,0.005
3.81E-04,0.006
3.81E-04,0.006
3.81E-04,0.005
3.81E-04,0.005
3.82E-04,0.005
3.82E-04,0.005
3.82E-04,0.005
3.82E-04,0.005
3.82E-04,0.005
3.83E-04,0.005
3.83E-04,0.005
3.83E-04,0.006
3.83E-04,0.006
3.83E-04,0.006
3.84E-04,0.005
3.84E-04,0.004
3.84E-04,0.004
3.84E-04,0.002
3.84E-04,0.003
3.85E-04,0.004
3.85E-04,0.003
3.85E-04,0.002
3.85E-04,0.004
3.85E-04,0.002
3.86E-04,0.003
3.86E-04,0.001
3.86E-04,0.001
3.86E-04,0.002
3.86E-04,0.002
3.87E-04,0.002
3.87E-04,0.001
3.87E-04,0.002
3.87E-04,0.002
3.87E-04,0.002
3.88E-04,0.001
3.88E-04,0.001
3.88E-04,0.002
3.88E-04,0.001
3.88E-04,0.001
3.89E-04,0.001
3.89E-04,0.001
3.89E-04,0.001
3.89E-04,0.001
3.89E-04,0.001
3.90E-04,0.001
3.90E-04,0.001
3.90E-04,0.002
3.90E-04,0.002
3.90E-04,0.002
3.91E-04,0.001
3.91E-04,0.002
3.91E-04,0.002
3.91E-04,0.002
3.91E-04,0.002
3.92E-04,-0.001
3.92E-04,0.001
3.92E-04,0.001
3.92E-04,0.001
3.92E-04,0.000
3.93E-04,0.001
3.93E-04,0.002
3.93E-04,0.001
3.93E-04,0.001
3.93E-04,0.001
3.94E-04,0.001
3.94E-04,0.002
3.94E-04,0.002
3.94E-04,0.002
3.94E-04,0.002
3.95E-04,0.002
3.95E-04,0.003
3.95E-04,0.002
3.95E-04,0.003
3.95E-04,0.004
3.96E-04,0.003
3.96E-04,0.002
3.96E-04,0.003
3.96E-04,0.003
3.96E-04,0.003
3.97E-04,0.003
3.97E-04,0.004
3.97E-04,0.003
3.97E-04,0.003
3.97E-04,0.003
3.98E-04,0.003
3.98E-04,0.004
3.98E-04,0.004
3.98E-04,0.003
3.98E-04,0.003
3.99E-04,0.003
3.99E-04,0.000
3.99E-04,0.000
3.99E-04,0.002
3.99E-04,0.002
4.00E-04,0.003
4.00E-04,0.002
4.00E-04,0.003
4.00E-04,0.003
4.00E-04,0.003
4.01E-04,0.003
4.01E-04,0.003
4.01E-04,0.003
4.01E-04,0.003
4.01E-04,0.003
4.02E-04,0.002
4.02E-04,0.003
4.02E-04,0.003
4.02E-04,0.003
4.02E-04,0.003
4.03E-04,0.002
4.03E-04,0.003
4.03E-04,0.003
4.03E-04,0.003
4.03E-04,0.004
4.04E-04,0.003
4.04E-04,0.002
4.04E-04,0.003
4.04E-04,0.002
4.04E-04,0.002
4.05E-04,0.002
4.05E-04,0.001
4.05E-04,0.002
4.05E-04,0.002
4.05E-04,0.002
4.06E-04,0.002
4.06E-04,0.003
4.06E-04,0.002
4.06E-04,-0.001
4.06E-04,0.001
4.07E-04,0.001
4.07E-04,0.002
4.07E-04,0.002
4.07E-04,0.002
4.07E-04,0.002
4.08E-04,0.002
4.08E-04,0.003
4.08E-04,0.002
4.08E-04,0.002
4.08E-04,0.002
4.09E-04,0.002
4.09E-04,0.003
4.09E-04,0.002
4.09E-04,0.002
4.09E-04,0.004
4.10E-04,0.004
4.10E-04,0.003
4.10E-04,0.003
4.10E-04,0.003
4.10E-04,0.003
4.11E-04,0.001
4.11E-04,0.003
4.11E-04,0.004
4.11E-04,0.003
4.11E-04,0.003
4.12E-04,0.003
4.12E-04,0.003
4.12E-04,0.003
4.12E-04,0.002
4.12E-04,0.003
4.13E-04,0.004
4.13E-04,0.004
4.13E-04,0.003
4.13E-04,0.004
4.13E-04,0.002
4.14E-04,0.001
4.14E-04,0.002
4.14E-04,0.003
4.14E-04,0.004
4.14E-04,0.005
4.15E-04,0.005
4.15E-04,0.005
4.15E-04,0.005
4.15E-04,0.005
4.15E-04,0.005
4.16E-04,0.004
4.16E-04,0.004
4.16E-04,0.004
4.16E-04,0.005
4.16E-04,0.005
4.17E-04,0.005
4.17E-04,0.006
4.17E-04,0.005
4.17E-04,0.005
4.17E-04,0.005
4.18E-04,0.006
4.18E-04,0.005
4.18E-04,0.005
4.18E-04,0.006
4.18E-04,0.005
4.19E-04,0.006
4.19E-04,0.005
4.19E-04,0.006
4.19E-04,0.005
4.19E-04,0.005
4.20E-04,0.005
4.20E-04,0.005
4.20E-04,0.006
4.20E-04,0.006
4.20E-04,0.006
4.21E-04,0.005
4.21E-04,0.004
4.21E-04,0.004
4.21E-04,0.003
4.21E-04,0.004
4.22E-04,0.005
4.22E-04,0.006
4.22E-04,0.007
4.22E-04,0.006
4.22E-04,0.006
4.23E-04,0.005
4.23E-04,0.005
4.23E-04,0.005
4.23E-04,0.005
4.23E-04,0.005
4.24E-04,0.006
4.24E-04,0.004
4.24E-04,0.005
4.24E-04,0.004
4.24E-04,0.004
4.25E-04,0.003
4.25E-04,0.004
4.25E-04,0.003
4.25E-04,0.004
4.25E-04,0.005
4.26E-04,0.003
4.26E-04,0.003
4.26E-04,0.002
4.26E-04,0.003
4.26E-04,0.003
4.27E-04,0.002
4.27E-04,0.002
4.27E-04,0.002
4.27E-04,0.002
4.27E-04,0.003
4.28E-04,0.002
4.28E-04,0.002
4.28E-04,0.002
4.28E-04,0.002
4.28E-04,0.001
4.29E-04,0.002
4.29E-04,0.002
4.29E-04,0.002
4.29E-04,0.002
4.29E-04,0.002
4.30E-04,0.002
4.30E-04,0.002
4.30E-04,0.002
4.30E-04,0.001
4.30E-04,0.002
4.31E-04,0.002
4.31E-04,0.002
4.31E-04,0.002
4.31E-04,0.002
4.31E-04,0.002
4.32E-04,0.002
4.32E-04,0.001
4.32E-04,0.001
4.32E-04,0.002
4.32E-04,0.001
4.33E-04,0.002
4.33E-04,0.002
4.33E-04,0.003
4.33E-04,0.002
4.33E-04,0.002
4.34E-04,0.002
4.34E-04,0.001
4.34E-04,0.002
4.34E-04,0.002
4.34E-04,0.001
4.35E-04,0.002
4.35E-04,0.002
4.35E-04,0.003
4.35E-04,0.003
4.35E-04,0.004
4.36E-04,0.003
4.36E-04,0.003
4.36E-04,0.002
4.36E-04,0.003
4.36E-04,0.003
4.37E-04,0.003
4.37E-04,0.003
4.37E-04,0.002
4.37E-04,0.002
4.37E-04,0.002
4.38E-04,0.002
4.38E-04,0.002
4.38E-04,0.002
4.38E-04,0.002
4.38E-04,0.002
4.39E-04,0.002
4.39E-04,0.002
4.39E-04,0.002
4.39E-04,0.003
4.39E-04,0.002
4.40E-04,0.002
4.40E-04,0.002
4.40E-04,0.002
4.40E-04,0.004
4.40E-04,0.002
4.41E-04,0.001
4.41E-04,0.003
4.41E-04,0.003
4.41E-04,0.003
4.41E-04,0.003
4.42E-04,0.003
4.42E-04,0.002
4.42E-04,0.003
4.42E-04,0.002
4.42E-04,0.002
4.43E-04,0.003
4.43E-04,0.004
4.43E-04,0.004
4.43E-04,0.004
4.43E-04,0.003
4.44E-04,0.002
4.44E-04,0.002
4.44E-04,0.001
4.44E-04,0.001
4.44E-04,0.002
4.45E-04,0.002
4.45E-04,0.002
4.45E-04,0.002
4.45E-04,0.002
4.45E-04,0.002
4.46E-04,0.002
4.46E-04,0.002
4.46E-04,0.002
4.46E-04,0.002
4.46E-04,0.002
4.47E-04,0.003
4.47E-04,0.002
4.47E-04,0.002
4.47E-04,0.002
4.47E-04,0.002
4.48E-04,0.002
4.48E-04,0.002
4.48E-04,0.002
4.48E-04,0.002
4.48E-04,0.002
4.49E-04,0.004
4.49E-04,0.004
4.49E-04,0.004
4.49E-04,0.004
4.49E-04,0.002
4.50E-04,0.002
4.50E-04,0.002
4.50E-04,0.004
4.50E-04,0.004
4.50E-04,0.004
4.51E-04,0.005
4.51E-04,0.003
4.51E-04,0.003
4.51E-04,0.003
4.51E-04,0.002
4.52E-04,0.002
4.52E-04,0.002
4.52E-04,0.003
4.52E-04,0.004
4.52E-04,0.004
4.53E-04,0.003
4.53E-04,0.004
4.53E-04,0.003
4.53E-04,0.004
4.53E-04,0.004
4.54E-04,0.004
4.54E-04,0.004
4.54E-04,0.005
4.54E-04,0.005
4.54E-04,0.005
4.55E-04,0.005
4.55E-04,0.005
4.55E-04,0.004
4.55E-04,0.005
4.55E-04,0.005
4.56E-04,0.004
4.56E-04,0.005
4.56E-04,0.004
4.56E-04,0.006
4.56E-04,0.006
4.57E-04,0.006
4.57E-04,0.006
4.57E-04,0.006
4.57E-04,0.005
4.57E-04,0.003
4.58E-04,0.004
4.58E-04,0.004
4.58E-04,0.004
4.58E-04,0.005
4.58E-04,0.005
4.59E-04,0.006
4.59E-04,0.006
4.59E-04,0.005
4.59E-04,0.005
4.59E-04,0.006
4.60E-04,0.006
4.60E-04,0.005
4.60E-04,0.006
4.60E-04,0.006
4.60E-04,0.006
4.61E-04,0.006
4.61E-04,0.008
4.61E-04,0.006
4.61E-04,0.006
4.61E-04,0.006
4.62E-04,0.006
4.62E-04,0.005
4.62E-04,0.006
4.62E-04,0.005
4.62E-04,0.005
4.63E-04,0.005
4.63E-04,0.005
4.63E-04,0.005
4.63E-04,0.005
4.63E-04,0.005
4.64E-04,0.005
4.64E-04,0.005
4.64E-04,0.004
4.64E-04,0.005
4.64E-04,0.005
4.65E-04,0.005
4.65E-04,0.003
4.65E-04,0.003
4.65E-04,0.003
4.65E-04,0.004
4.66E-04,0.003
4.66E-04,0.004
4.66E-04,0.005
4.66E-04,0.006
4.66E-04,0.005
4.67E-04,0.005
4.67E-04,0.004
4.67E-04,0.006
4.67E-04,0.005
4.67E-04,0.005
4.68E-04,0.005
4.68E-04,0.005
4.68E-04,0.006
4.68E-04,0.006
4.68E-04,0.005
4.69E-04,0.005
4.69E-04,0.005
4.69E-04,0.005
4.69E-04,0.005
4.69E-04,0.006
4.70E-04,0.005
4.70E-04,0.005
4.70E-04,0.005
4.70E-04,0.005
4.70E-04,0.005
4.71E-04,0.004
4.71E-04,0.004
4.71E-04,0.003
4.71E-04,0.003
4.71E-04,0.004
4.72E-04,0.003
4.72E-04,0.004
4.72E-04,0.005
4.72E-04,0.004
4.72E-04,0.004
4.73E-04,0.003
4.73E-04,0.003
4.73E-04,0.004
4.73E-04,0.004
4.73E-04,0.004
4.74E-04,0.004
4.74E-04,0.004
4.74E-04,0.004
4.74E-04,0.004
4.74E-04,0.003
4.75E-04,0.003
4.75E-04,0.004
4.75E-04,0.003
4.75E-04,0.003
4.75E-04,0.003
4.76E-04,0.003
4.76E-04,0.003
4.76E-04,0.003
4.76E-04,0.003
4.76E-04,0.002
4.77E-04,0.003
4.77E-04,0.003
4.77E-04,0.002
4.77E-04,0.002
4.77E-04,0.002
4.78E-04,0.002
4.78E-04,0.002
4.78E-04,0.002
4.78E-04,0.002
4.78E-04,0.002
4.79E-04,0.002
4.79E-04,0.001
4.79E-04,0.001
4.79E-04,0.002
4.79E-04,0.003
4.80E-04,0.003
4.80E-04,0.001
4.80E-04,0.002
4.80E-04,0.002
4.80E-04,0.002
4.81E-04,0.002
4.81E-04,0.002
4.81E-04,0.002
4.81E-04,0.001
4.81E-04,0.002
4.82E-04,0.002
4.82E-04,0.002
4.82E-04,0.001
4.82E-04,0.001
4.82E-04,0.001
4.83E-04,0.000
4.83E-04,0.001
4.83E-04,0.000
4.83E-04,-0.002
4.83E-04,-0.000
4.84E-04,0.000
4.84E-04,0.000
4.84E-04,0.000
4.84E-04,0.000
4.84E-04,0.000
4.85E-04,-0.001
4.85E-04,0.000
4.85E-04,0.000
4.85E-04,0.000
4.85E-04,0.001
4.86E-04,0.001
4.86E-04,0.001
4.86E-04,-0.000
4.86E-04,0.000
4.86E-04,0.000
4.87E-04,0.000
4.87E-04,0.000
4.87E-04,0.000
4.87E-04,0.001
4.87E-04,0.001
4.88E-04,0.001
4.88E-04,0.000
4.88E-04,0.000
4.88E-04,0.000
4.88E-04,0.001
4.89E-04,0.001
4.89E-04,0.001
4.89E-04,0.001
4.89E-04,0.001
4.89E-04,0.002
4.90E-04,0.001
4.90E-04,0.001
4.90E-04,0.001
4.90E-04,0.001
4.90E-04,0.001
4.91E-04,-0.001
4.91E-04,0.001
4.91E-04,0.002
4.91E-04,0.002
4.91E-04,0.002
4.92E-04,0.002
4.92E-04,0.002
4.92E-04,0.002
4.92E-04,0.002
4.92E-04,0.002
4.93E-04,0.002
4.93E-04,0.003
4.93E-04,0.005
4.93E-04,0.003
4.93E-04,0.003
4.94E-04,0.003
4.94E-04,0.003
4.94E-04,0.002
4.94E-04,0.002
4.94E-04,0.004
4.95E-04,0.003
4.95E-04,0.003
4.95E-04,0.003
4.95E-04,0.003
4.95E-04,0.003
4.96E-04,0.003
4.96E-04,0.003
4.96E-04,0.003
4.96E-04,0.004
4.96E-04,0.003
4.97E-04,0.003
4.97E-04,0.003
4.97E-04,0.003
4.97E-04,0.003
4.97E-04,0.004
4.98E-04,0.004
4.98E-04,0.003
4.98E-04,0.003
4.98E-04,0.004
4.98E-04,0.004
4.99E-04,0.004
4.99E-04,0.003
4.99E-04,0.004
4.99E-04,0.005
4.99E-04,0.004
5.00E-04,0.005
5.00E-04,0.004
5.00E-04,0.004
5.00E-04,0.004
5.00E-04,0.004
5.01E-04,0.004
5.01E-04,0.004
5.01E-04,0.005
5.01E-04,0.004
5.01E-04,0.003
5.02E-04,0.004
5.02E-04,0.003
5.02E-04,0.003
5.02E-04,0.004
5.02E-04,0.003
5.03E-04,0.003
5.03E-04,0.003
5.03E-04,0.003
5.03E-04,0.003
5.03E-04,0.003
5.04E-04,0.004
5.04E-04,0.003
