#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
2.00E-07,0.004
4.00E-07,0.004
6.00E-07,0.005
8.00E-07,0.005
1.00E-06,0.005
1.20E-06,0.005
1.40E-06,0.005
1.60E-06,0.005
1.80E-06,0.005
2.00E-06,0.005
2.20E-06,0.006
2.40E-06,0.005
2.60E-06,0.006
2.80E-06,0.005
3.00E-06,0.005
3.20E-06,0.004
3.40E-06,0.005
3.60E-06,0.005
3.80E-06,0.005
4.00E-06,0.005
4.20E-06,0.005
4.40E-06,0.005
4.60E-06,0.005
4.80E-06,0.005
5.00E-06,0.005
5.20E-06,0.005
5.40E-06,0.006
5.60E-06,0.005
5.80E-06,0.006
6.00E-06,0.005
6.20E-06,0.006
6.40E-06,0.006
6.60E-06,0.006
6.80E-06,0.005
7.00E-06,0.006
7.20E-06,0.005
7.40E-06,0.006
7.60E-06,0.006
7.80E-06,0.006
8.00E-06,0.006
8.20E-06,0.007
8.40E-06,0.006
8.60E-06,0.006
8.80E-06,0.006
9.00E-06,0.005
9.20E-06,0.005
9.40E-06,0.006
9.60E-06,0.005
9.80E-06,0.005
1.00E-05,0.006
1.02E-05,0.005
1.04E-05,0.005
1.06E-05,0.005
1.08E-05,0.005
1.10E-05,0.004
1.12E-05,0.004
1.14E-05,0.005
1.16E-05,0.005
1.18E-05,0.005
1.20E-05,0.004
1.22E-05,0.005
1.24E-05,0.006
1.26E-05,0.004
1.28E-05,0.004
1.30E-05,0.005
1.32E-05,0.004
1.34E-05,0.005
1.36E-05,0.005
1.38E-05,0.005
1.40E-05,0.005
1.42E-05,0.006
1.44E-05,0.005
1.46E-05,0.005
1.48E-05,0.006
1.50E-05,0.006
1.52E-05,0.004
1.54E-05,0.006
1.56E-05,0.005
1.58E-05,0.006
1.60E-05,0.005
1.62E-05,0.005
1.64E-05,0.005
1.66E-05,0.006
1.68E-05,0.006
1.70E-05,0.006
1.72E-05,0.006
1.74E-05,0.007
1.76E-05,0.006
1.78E-05,0.006
1.80E-05,0.006
1.82E-05,0.005
1.84E-05,0.006
1.86E-05,0.006
1.88E-05,0.006
1.90E-05,0.007
1.92E-05,0.007
1.94E-05,0.007
1.96E-05,0.007
1.98E-05,0.007
2.00E-05,0.007
2.02E-05,0.008
2.04E-05,0.007
2.06E-05,0.008
2.08E-05,0.008
2.10E-05,0.008
2.12E-05,0.007
2.14E-05,0.008
2.16E-05,0.008
2.18E-05,0.008
2.20E-05,0.007
2.22E-05,0.008
2.24E-05,0.008
2.26E-05,0.008
2.28E-05,0.008
2.30E-05,0.007
2.32E-05,0.008
2.34E-05,0.008
2.36E-05,0.007
2.38E-05,0.008
2.40E-05,0.008
2.42E-05,0.007
2.44E-05,0.007
2.46E-05,0.007
2.48E-05,0.008
2.50E-05,0.008
2.52E-05,0.008
2.54E-05,0.008
2.56E-05,0.008
2.58E-05,0.008
2.60E-05,0.007
2.62E-05,0.007
2.64E-05,0.007
2.66E-05,0.008
2.68E-05,0.008
2.70E-05,0.008
2.72E-05,0.009
2.74E-05,0.007
2.76E-05,0.008
2.78E-05,0.008
2.80E-05,0.008
2.82E-05,0.008
2.84E-05,0.008
2.86E-05,0.008
2.88E-05,0.008
2.90E-05,0.008
2.92E-05,0.008
2.94E-05,0.008
2.96E-05,0.007
2.98E-05,0.007
3.00E-05,0.007
3.02E-05,0.007
3.04E-05,0.006
3.06E-05,0.007
3.08E-05,0.007
3.10E-05,0.007
3.12E-05,0.007
3.14E-05,0.008
3.16E-05,0.007
3.18E-05,0.007
3.20E-05,0.007
3.22E-05,0.007
3.24E-05,0.007
3.26E-05,0.008
3.28E-05,0.008
3.30E-05,0.006
3.32E-05,0.007
3.34E-05,0.007
3.36E-05,0.007
3.38E-05,0.008
3.40E-05,0.007
3.42E-05,0.007
3.44E-05,0.007
3.46E-05,0.007
3.48E-05,0.008
3.50E-05,0.008
3.52E-05,0.007
3.54E-05,0.008
3.56E-05,0.007
3.58E-05,0.008
3.60E-05,0.007
3.62E-05,0.007
3.64E-05,0.008
3.66E-05,0.008
3.68E-05,0.009
3.70E-05,0.008
3.72E-05,0.008
3.74E-05,0.008
3.76E-05,0.007
3.78E-05,0.008
3.80E-05,0.007
3.82E-05,0.008
3.84E-05,0.008
3.86E-05,0.009
3.88E-05,0.008
3.90E-05,0.009
3.92E-05,0.009
3.94E-05,0.009
3.96E-05,0.008
3.98E-05,0.009
4.00E-05,0.010
4.02E-05,0.009
4.04E-05,0.009
4.06E-05,0.009
4.08E-05,0.010
4.10E-05,0.010
4.12E-05,0.009
4.14E-05,0.007
4.16E-05,0.009
4.18E-05,0.008
4.20E-05,0.009
4.22E-05,0.010
4.24E-05,0.009
4.26E-05,0.009
4.28E-05,0.010
4.30E-05,0.009
4.32E-05,0.009
4.34E-05,0.009
4.36E-05,0.009
4.38E-05,0.008
4.40E-05,0.009
4.42E-05,0.009
4.44E-05,0.010
4.46E-05,0.010
4.48E-05,0.009
4.50E-05,0.009
4.52E-05,0.011
4.54E-05,0.010
4.56E-05,0.009
4.58E-05,0.009
4.60E-05,0.009
4.62E-05,0.009
4.64E-05,0.009
4.66E-05,0.009
4.68E-05,0.010
4.70E-05,0.009
4.72E-05,0.010
4.74E-05,0.010
4.76E-05,0.010
4.78E-05,0.009
4.80E-05,0.009
4.82E-05,0.009
4.84E-05,0.009
4.86E-05,0.009
4.88E-05,0.009
4.90E-05,0.008
4.92E-05,0.008
4.94E-05,0.008
4.96E-05,0.008
4.98E-05,0.008
5.00E-05,0.008
5.02E-05,0.008
5.04E-05,0.008
5.06E-05,0.008
5.08E-05,0.007
5.10E-05,0.008
5.12E-05,0.007
5.14E-05,0.008
5.16E-05,0.007
5.18E-05,0.008
5.20E-05,0.008
5.22E-05,0.008
5.24E-05,0.008
5.26E-05,0.008
5.28E-05,0.008
5.30E-05,0.008
5.32E-05,0.008
5.34E-05,0.008
5.36E-05,0.008
5.38E-05,0.008
5.40E-05,0.008
5.42E-05,0.009
5.44E-05,0.008
5.46E-05,0.008
5.48E-05,0.009
5.50E-05,0.008
5.52E-05,0.009
5.54E-05,0.009
5.56E-05,0.009
5.58E-05,0.009
5.60E-05,0.009
5.62E-05,0.009
5.64E-05,0.009
5.66E-05,0.008
5.68E-05,0.009
5.70E-05,0.009
5.72E-05,0.009
5.74E-05,0.009
5.76E-05,0.009
5.78E-05,0.009
5.80E-05,0.010
5.82E-05,0.010
5.84E-05,0.010
5.86E-05,0.009
5.88E-05,0.010
5.90E-05,0.009
5.92E-05,0.009
5.94E-05,0.011
5.96E-05,0.011
5.98E-05,0.011
6.00E-05,0.011
6.02E-05,0.010
6.04E-05,0.010
6.06E-05,0.010
6.08E-05,0.010
6.10E-05,0.010
6.12E-05,0.010
6.14E-05,0.010
6.16E-05,0.010
6.18E-05,0.010
6.20E-05,0.010
6.22E-05,0.011
6.24E-05,0.010
6.26E-05,0.010
6.28E-05,0.010
6.30E-05,0.010
6.32E-05,0.010
6.34E-05,0.010
6.36E-05,0.010
6.38E-05,0.010
6.40E-05,0.010
6.42E-05,0.010
6.44E-05,0.010
6.46E-05,0.010
6.48E-05,0.011
6.50E-05,0.011
6.52E-05,0.010
6.54E-05,0.009
6.56E-05,0.009
6.58E-05,0.009
6.60E-05,0.009
6.62E-05,0.009
6.64E-05,0.010
6.66E-05,0.009
6.68E-05,0.008
6.70E-05,0.008
6.72E-05,0.008
6.74E-05,0.008
6.76E-05,0.007
6.78E-05,0.006
6.80E-05,0.007
6.82E-05,0.008
6.84E-05,0.007
6.86E-05,0.006
6.88E-05,0.005
6.90E-05,0.006
6.92E-05,0.005
6.94E-05,0.004
6.96E-05,0.005
6.98E-05,0.004
7.00E-05,0.004
7.02E-05,0.004
7.04E-05,0.004
7.06E-05,0.004
7.08E-05,0.004
7.10E-05,0.004
7.12E-05,0.004
7.14E-05,0.004
7.16E-05,0.004
7.18E-05,0.002
7.20E-05,0.003
7.22E-05,0.003
7.24E-05,0.003
7.26E-05,0.003
7.28E-05,0.002
7.30E-05,0.003
7.32E-05,0.004
7.34E-05,0.003
7.36E-05,0.002
7.38E-05,0.002
7.40E-05,0.003
7.42E-05,0.002
7.44E-05,0.003
7.46E-05,0.002
7.48E-05,0.002
7.50E-05,0.002
7.52E-05,0.002
7.54E-05,0.002
7.56E-05,0.003
7.58E-05,0.002
7.60E-05,0.002
7.62E-05,0.002
7.64E-05,0.002
7.66E-05,0.001
7.68E-05,0.002
7.70E-05,0.002
7.72E-05,0.001
7.74E-05,0.002
7.76E-05,0.002
7.78E-05,0.001
7.80E-05,0.002
7.82E-05,0.000
7.84E-05,0.003
7.86E-05,0.003
7.88E-05,0.002
7.90E-05,0.003
7.92E-05,0.003
7.94E-05,0.002
7.96E-05,0.002
7.98E-05,0.002
8.00E-05,0.002
8.02E-05,0.002
8.04E-05,0.002
8.06E-05,0.002
8.08E-05,0.001
8.10E-05,0.002
8.12E-05,0.002
8.14E-05,0.002
8.16E-05,0.002
8.18E-05,0.002
8.20E-05,0.002
8.22E-05,0.002
8.24E-05,0.003
8.26E-05,0.002
8.28E-05,0.002
8.30E-05,0.002
8.32E-05,0.002
8.34E-05,0.002
8.36E-05,0.002
8.38E-05,0.001
8.40E-05,0.002
8.42E-05,0.002
8.44E-05,0.002
8.46E-05,0.002
8.48E-05,0.002
8.50E-05,0.002
8.52E-05,0.003
8.54E-05,0.002
8.56E-05,0.002
8.58E-05,0.002
8.60E-05,0.002
8.62E-05,0.003
8.64E-05,0.002
8.66E-05,0.002
8.68E-05,0.002
8.70E-05,0.002
8.72E-05,0.002
8.74E-05,0.002
8.76E-05,0.002
8.78E-05,0.002
8.80E-05,0.001
8.82E-05,0.001
8.84E-05,0.001
8.86E-05,0.001
8.88E-05,0.001
8.90E-05,0.001
8.92E-05,0.002
8.94E-05,0.001
8.96E-05,0.000
8.98E-05,0.001
9.00E-05,0.000
9.02E-05,-0.000
9.04E-05,0.000
9.06E-05,0.001
9.08E-05,0.001
9.10E-05,0.002
9.12E-05,0.002
9.14E-05,0.002
9.16E-05,0.002
9.18E-05,0.001
9.20E-05,0.001
9.22E-05,0.001
9.24E-05,0.001
9.26E-05,0.001
9.28E-05,0.002
9.30E-05,0.000
9.32E-05,-0.000
9.34E-05,0.002
9.36E-05,0.001
9.38E-05,0.001
9.40E-05,0.002
9.42E-05,0.002
9.44E-05,0.001
9.46E-05,0.002
9.48E-05,0.002
9.50E-05,0.002
9.52E-05,0.002
9.54E-05,0.002
9.56E-05,0.001
9.58E-05,0.001
9.60E-05,0.002
9.62E-05,0.002
9.64E-05,0.002
9.66E-05,0.002
9.68E-05,0.002
9.70E-05,0.002
9.72E-05,0.002
9.74E-05,0.002
9.76E-05,0.005
9.78E-05,0.002
9.80E-05,0.003
9.82E-05,0.003
9.84E-05,0.003
9.86E-05,0.004
9.88E-05,0.004
9.90E-05,0.005
9.92E-05,0.004
9.94E-05,0.004
9.96E-05,0.004
9.98E-05,0.004
1.00E-04,0.004
1.00E-04,0.004
1.00E-04,0.003
1.01E-04,0.004
1.01E-04,0.004
1.01E-04,0.004
1.01E-04,0.004
1.01E-04,0.005
1.02E-04,0.004
1.02E-04,0.004
1.02E-04,0.004
1.02E-04,0.004
1.02E-04,0.004
1.03E-04,0.003
1.03E-04,0.004
1.03E-04,0.004
1.03E-04,0.004
1.03E-04,0.004
1.04E-04,0.004
1.04E-04,0.004
1.04E-04,0.004
1.04E-04,0.005
1.04E-04,0.005
1.05E-04,0.004
1.05E-04,0.004
1.05E-04,0.005
1.05E-04,0.005
1.05E-04,0.005
1.06E-04,0.005
1.06E-04,0.005
1.06E-04,0.005
1.06E-04,0.004
1.06E-04,0.005
1.07E-04,0.005
1.07E-04,0.005
1.07E-04,0.005
1.07E-04,0.004
1.07E-04,0.004
1.08E-04,0.004
1.08E-04,0.003
1.08E-04,0.004
1.08E-04,0.003
1.08E-04,0.003
1.09E-04,0.004
1.09E-04,0.003
1.09E-04,0.003
1.09E-04,0.004
1.09E-04,0.004
1.10E-04,0.004
1.10E-04,0.004
1.10E-04,0.003
1.10E-04,0.004
1.10E-04,0.004
1.11E-04,0.003
1.11E-04,0.004
1.11E-04,0.004
1.11E-04,0.004
1.11E-04,0.004
1.12E-04,0.003
1.12E-04,0.004
1.12E-04,0.004
1.12E-04,0.005
1.12E-04,0.004
1.13E-04,0.004
1.13E-04,0.004
1.13E-04,0.005
1.13E-04,0.004
1.13E-04,0.004
1.14E-04,0.004
1.14E-04,0.004
1.14E-04,0.004
1.14E-04,0.004
1.14E-04,0.004
1.15E-04,0.005
1.15E-04,0.005
1.15E-04,0.005
1.15E-04,0.004
1.15E-04,0.004
1.16E-04,0.003
1.16E-04,0.005
1.16E-04,0.004
1.16E-04,0.005
1.16E-04,0.005
1.17E-04,0.005
1.17E-04,0.006
1.17E-04,0.005
1.17E-04,0.006
1.17E-04,0.006
1.18E-04,0.007
1.18E-04,0.006
1.18E-04,0.006
1.18E-04,0.006
1.18E-04,0.006
1.19E-04,0.006
1.19E-04,0.007
1.19E-04,0.007
1.19E-04,0.007
1.19E-04,0.007
1.20E-04,0.007
1.20E-04,0.006
1.20E-04,0.006
1.20E-04,0.006
1.20E-04,0.007
1.21E-04,0.007
1.21E-04,0.007
1.21E-04,0.007
1.21E-04,0.008
1.21E-04,0.007
1.22E-04,0.007
1.22E-04,0.007
1.22E-04,0.006
1.22E-04,0.006
1.22E-04,0.006
1.23E-04,0.006
1.23E-04,0.007
1.23E-04,0.007
1.23E-04,0.007
1.23E-04,0.007
1.24E-04,0.007
1.24E-04,0.007
1.24E-04,0.006
1.24E-04,0.007
